gene_symbol,mean_DMD,mean_control,log2FC,p_value,padj,neg_log10_padj,regulation
LINC00477,2.2813673896249997,2.2769301585,0.00443723112499983,0.823637632400933,0.9124732236534246,0.03977987097031973,not_significant
VAMP4,6.425356547125,6.450501334055556,-0.02514478693055544,0.8240073962808179,0.9128363838521841,0.03960705812607604,not_significant
TMEM131,6.2106595979999994,6.2035010181666665,0.007158579833332901,0.8243050875799596,0.9131196690412965,0.03947230220440033,not_significant
CYTH2,4.438608232291667,4.423076303444444,0.01553192884722332,0.8243683553124856,0.9131432571193038,0.03946108347792771,not_significant
ATRIP,5.681613389604166,5.702371699500001,-0.020758309895835048,0.8247748353088973,0.9135469956797038,0.03926910628694003,not_significant
TCHP,4.657873404375,4.626121660666666,0.03175174370833389,0.8250233105861606,0.913775690958249,0.03916039959955051,not_significant
SIRPG,2.269028390625,2.267351489083333,0.0016769015416668864,0.8252686619114753,0.9140009031148065,0.03905337514408628,not_significant
PITRM1-AS1,2.3016113014374997,2.2923876315,0.009223669937499679,0.8255808685601121,0.9143001321281429,0.03891121747095409,not_significant
WIF1,2.8620830463124998,2.8117698238333335,0.05031322247916625,0.8257380954827066,0.9144277051273241,0.03885062425577422,not_significant
LOC283352,2.26561902490625,2.264725675083333,0.000893349822916889,0.825804453988039,0.9144546419886892,0.038837831163566885,not_significant
DNAH12,2.2842179324687497,2.2909061829166664,-0.006688250447916655,0.8260165458010951,0.9146429456865081,0.038748410831131196,not_significant
MIR6872,5.323748954187501,5.368754142833333,-0.04500518864583203,0.826210005588551,0.9148106001414354,0.038668811756302164,not_significant
ADGRD1,4.3231814600625,4.2641549085,0.05902655156249992,0.8264998343786936,0.9150357806294913,0.03856192339133745,not_significant
SIX5,3.5235090890208336,3.512228678444444,0.01128041057638951,0.8264645650471958,0.9150357806294913,0.03856192339133745,not_significant
PGAP2,6.1607330491875,6.216032358666666,-0.0552993094791665,0.826539559878195,0.9150357806294913,0.03856192339133745,not_significant
SCARB1,3.7192129801,3.7304644253999997,-0.011251445299999663,0.8266504154364676,0.9151119370964966,0.03852577949641531,not_significant
